Id,,dG [kcal/mol] mean
A1295_out_frst.sdf,,-10.1145026
A1296_out_frst.sdf,,-10.39323721
A1297_out_frst.sdf,,-8.785906536
A1300_out_frst.sdf,,-9.086998905
A1303_out_frst.sdf,,-8.63129331
A1307_out_frst.sdf,,-8.85209993
A1310_out_frst.sdf,,-8.575050698
A1313_out_frst.sdf,,-7.393965861
A1316_out_frst.sdf,,-8.600279311
A1319_out_frst.sdf,,-8.712475133
A1338_out_frst.sdf,,-10.26713737
A1344_out_frst.sdf,,-7.679849645
A1351_out_frst.sdf,,-9.152659566
A1361_out_frst.sdf,,-7.957272516
A1363_out_frst.sdf,,-8.232238269
A1368_out_frst.sdf,,-8.274183175
A1370_out_frst.sdf,,-8.984138918
A1372_out_frst.sdf,,-9.991083251
A1376_out_frst.sdf,,-7.280391353
A1377_out_frst.sdf,,-8.79465299
A1378_out_frst.sdf,,-7.479139914
A1379_out_frst.sdf,,-7.140392181
A1381_out_frst.sdf,,-7.962398999
A1384_out_frst.sdf,,-7.101918176
A1385_out_frst.sdf,,-7.301717673
A1386_out_frst.sdf,,-9.925594834
A1395_out_frst.sdf,,-10.1608863
A1398_out_frst.sdf,,-8.066383583
A1399_out_frst.sdf,,-9.416155611
A1400_out_frst.sdf,,-9.162402422
A1401_out_frst.sdf,,-8.819985519
A1412_out_frst.sdf,,-9.477620898
A1413_out_frst.sdf,,-9.147021042
A1414_out_frst.sdf,,-10.65904066
A1416_out_frst.sdf,,-8.930516011
A1418_out_frst.sdf,,-10.18344822
A1424_out_frst.sdf,,-8.328775079
A1426_out_frst.sdf,,-10.92775165
A1427_out_frst.sdf,,-10.08944154
A1434_out_frst.sdf,,-8.572695381
A1436_out_frst.sdf,,-8.442243004
A1438_out_frst.sdf,,-8.679828634
A1441_out_frst.sdf,,-8.38436219
A1442_out_frst.sdf,,-8.558023299
A1444_out_frst.sdf,,-11.0169584
A1447_out_frst.sdf,,-9.654551881
A1451_out_frst.sdf,,-10.23291143
A1457_out_frst.sdf,,-9.931946336
A1462_out_frst.sdf,,-8.393243183
A1463_out_frst.sdf,,-10.12001293
A1464_out_frst.sdf,,-9.213368286
A1472_out_frst.sdf,,-10.87944706
A1473_out_frst.sdf,,-8.749526034
A1480_out_frst.sdf,,-8.867973948
A1481_out_frst.sdf,,-8.205861333
A1485_out_frst.sdf,,-10.73540306
A1486_out_frst.sdf,,-9.97473324
A1491_out_frst.sdf,,-10.47946597
A1495_out_frst.sdf,,-8.440242842
A1496_out_frst.sdf,,-8.217936976
A1500_out_frst.sdf,,-7.325017394
A1501_out_frst.sdf,,-8.054494163
A1502_out_frst.sdf,,-8.494952273
A1503_out_frst.sdf,,-8.693663958
A1507_out_frst.sdf,,-10.4080533
A1508_out_frst.sdf,,-8.942741919
A1510_out_frst.sdf,,-9.530058513
A1511_out_frst.sdf,,-9.408379258
A1512_out_frst.sdf,,-9.224398787
A1515_out_frst.sdf,,-8.576230931
A1517_out_frst.sdf,,-9.881349329
A1520_out_frst.sdf,,-10.87299744
A1524_out_frst.sdf,,-10.65648873
A1526_out_frst.sdf,,-10.47150597
A1528_out_frst.sdf,,-11.02242109
A1533_out_frst.sdf,,-9.421830368
A1545_out_frst.sdf,,-8.614429052
A1547_out_frst.sdf,,-9.532687875
A1553_out_frst.sdf,,-9.262641048
A1554_out_frst.sdf,,-9.750003638
A1558_out_frst.sdf,,-7.613712256
A1560_out_frst.sdf,,-9.392766963
A1565_out_frst.sdf,,-9.044719536
A1566_out_frst.sdf,,-8.507214137
A1570_out_frst.sdf,,-9.237751957
A1572_out_frst.sdf,,-8.691602918
A1573_out_frst.sdf,,-9.179739363
A1590_out_frst.sdf,,-8.029148023
A1591_out_frst.sdf,,-9.240467303
A1592_out_frst.sdf,,-10.1862695
A1594_out_frst.sdf,,-9.413414792
A1000_out_frst.sdf,,-9.171976621
A1001_out_frst.sdf,,-10.66892348
A1003_out_frst.sdf,,-10.39902968
A1004_out_frst.sdf,,-8.66705859
A1006_out_frst.sdf,,-7.694443192
A1010_out_frst.sdf,,-10.11535472
A1011_out_frst.sdf,,-10.07652031
A1012_out_frst.sdf,,-7.826796045
A1014_out_frst.sdf,,-8.268737585
A1015_out_frst.sdf,,-8.705421322
A1019_out_frst.sdf,,-7.934559785
A1023_out_frst.sdf,,-8.087173033
A1025_out_frst.sdf,,-7.920954456
A1027_out_frst.sdf,,-10.52777387
A1028_out_frst.sdf,,-8.487242409
A1039_out_frst.sdf,,-8.064803961
A1045_out_frst.sdf,,-8.831781047
A1047_out_frst.sdf,,-9.154077428
A1050_out_frst.sdf,,-8.280055097
